Layer, Layer attribute, Layer name, #input feature maps(C), Input Height(H), Input Width(W), #output feature maps(K), Filter Height(R), Filter Width(S), Zero Padding(Z), Vertical Conv Srtide(H), Horizontal Conv Stride(V), Height after Conv(P), Width after Conv(Q), Pooling after Conv, Pooling Height(D), Pooling Width(E), Vertical pooling stride(F), Horizontal pooling stride(G), Height after Pooling(A), Height after Pooling(B), Calculation, Input data size, Output data size, Weight data size, DRAM Traffic, DRAM Cycles, MAC Cycles, MAX Cycle, Long Pole
1, conv,conv2d0, 3, 224, 224, 64, 7, 7, TRUE, 2, 2, 112, 112, TRUE, 3, 3, 2, 2, 56, 56, 118013952, 1568KB, 392KB, 24KB, 1984KB, 198400, 9834496, 9834496, MAC
2, conv,conv2d1, 64, 56, 56, 64, 1, 1, FALSE, 1, 1, 56, 56,,,,,,,, 12845056, 392KB, 392KB, 8KB, 792KB, 79200, 200704, 200704, MAC
3, conv,conv2d2, 64, 56, 56, 192, 3, 3, TRUE, 1, 1, 56, 56, TRUE, 3, 3, 2, 2, 28, 28, 346816512, 392KB, 294KB, 216KB, 902KB, 90200, 5419008, 5419008, MAC
4, conv,conv2d3, 192, 28, 28, 64, 1, 1, FALSE, 1, 1, 28, 28,,,,,,,, 9633792, 294KB, 98KB, 24KB, 416KB, 41600, 150528, 150528, MAC
5, conv,conv2d4, 192, 28, 28, 96, 1, 1, FALSE, 1, 1, 28, 28,,,,,,,, 14450688, 294KB, 147KB, 36KB, 477KB, 47700, 225792, 225792, MAC
6, conv,conv2d5, 96, 28, 28, 128, 3, 3, TRUE, 1, 1, 28, 28,,,,,,,, 86704128, 196KB, 196KB, 216KB, 608KB, 60800, 1806336, 1806336, MAC
7, conv,conv2d6, 192, 28, 28, 16, 1, 1, FALSE, 1, 1, 28, 28,,,,,,,, 2408448, 294KB, 25KB, 6KB, 325KB, 32500, 37632, 37632, MAC
8, conv,conv2d7, 16, 28, 28, 32, 5, 5, TRUE, 1, 1, 28, 28, TRUE, 3, 3, 1, 1, 26, 26, 10035200, 98KB, 43KB, 25KB, 166KB, 16600, 627200, 627200, MAC
9, conv,conv2d8, 192, 28, 28, 32, 1, 1, FALSE, 1, 1, 28, 28,,,,,,,, 4816896, 294KB, 49KB, 12KB, 355KB, 35500, 75264, 75264, MAC
10, conv,conv2d9, 256, 28, 28, 128, 1, 1, FALSE, 1, 1, 28, 28,,,,,,,, 25690112, 392KB, 196KB, 64KB, 652KB, 65200, 401408, 401408, MAC
11, conv,conv2d10, 256, 28, 28, 128, 1, 1, FALSE, 1, 1, 28, 28,,,,,,,, 25690112, 392KB, 196KB, 64KB, 652KB, 65200, 401408, 401408, MAC
12, conv,conv2d11, 128, 28, 28, 192, 3, 3, TRUE, 1, 1, 28, 28,,,,,,,, 173408256, 196KB, 294KB, 432KB, 922KB, 92200, 2709504, 2709504, MAC
13, conv,conv2d12, 256, 28, 28, 32, 1, 1, FALSE, 1, 1, 28, 28,,,,,,,, 6422528, 392KB, 49KB, 16KB, 457KB, 45700, 100352, 100352, MAC
14, conv,conv2d13, 32, 28, 28, 96, 5, 5, TRUE, 1, 1, 28, 28, TRUE, 3, 3, 1, 1, 26, 26, 60211200, 98KB, 127KB, 150KB, 375KB, 37500, 1881600, 1881600, MAC
15, conv,conv2d14, 256, 28, 28, 64, 1, 1, FALSE, 1, 1, 28, 28, TRUE, 3, 3, 2, 2, 14, 14, 12845056, 392KB, 25KB, 32KB, 449KB, 44900, 200704, 200704, MAC
16, conv,conv2d15, 480, 14, 14, 192, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 18063360, 196KB, 74KB, 180KB, 450KB, 45000, 301056, 301056, MAC
17, conv,conv2d16, 480, 14, 14, 96, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 9031680, 196KB, 37KB, 90KB, 323KB, 32300, 150528, 150528, MAC
18, conv,conv2d17, 96, 14, 14, 208, 3, 3, TRUE, 1, 1, 14, 14,,,,,,,, 35223552, 49KB, 80KB, 351KB, 480KB, 48000, 733824, 733824, MAC
19, conv,conv2d18, 480, 14, 14, 16, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 1505280, 196KB, 7KB, 15KB, 218KB, 21800, 25088, 25088, MAC
20, conv,conv2d19, 16, 14, 14, 48, 5, 5, TRUE, 1, 1, 14, 14, TRUE, 3, 3, 1, 1, 12, 12, 3763200, 25KB, 14KB, 38KB, 77KB, 7700, 235200, 235200, MAC
21, conv,conv2d20, 480, 14, 14, 64, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 6021120, 196KB, 25KB, 60KB, 281KB, 28100, 100352, 100352, MAC
22, conv,conv2d21, 512, 14, 14, 160, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 16056320, 196KB, 62KB, 160KB, 418KB, 41800, 250880, 250880, MAC
23, conv,conv2d22, 512, 14, 14, 112, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 11239424, 196KB, 43KB, 112KB, 351KB, 35100, 175616, 175616, MAC
24, conv,conv2d23, 112, 14, 14, 224, 3, 3, TRUE, 1, 1, 14, 14,,,,,,,, 44255232, 49KB, 86KB, 441KB, 576KB, 57600, 790272, 790272, MAC
25, conv,conv2d24, 512, 14, 14, 24, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 2408448, 196KB, 13KB, 24KB, 233KB, 23300, 50176, 50176, MAC
26, conv,conv2d25, 24, 14, 14, 64, 5, 5, TRUE, 1, 1, 14, 14, TRUE, 3, 3, 1, 1, 12, 12, 7526400, 25KB, 18KB, 75KB, 118KB, 11800, 313600, 313600, MAC
27, conv,conv2d26, 512, 14, 14, 64, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 6422528, 196KB, 25KB, 64KB, 285KB, 28500, 100352, 100352, MAC
28, conv,conv2d27, 512, 14, 14, 128, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 12845056, 196KB, 49KB, 128KB, 373KB, 37300, 200704, 200704, MAC
29, conv,conv2d28, 512, 14, 14, 128, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 12845056, 196KB, 49KB, 128KB, 373KB, 37300, 200704, 200704, MAC
30, conv,conv2d29, 128, 14, 14, 256, 3, 3, TRUE, 1, 1, 14, 14,,,,,,,, 57802752, 49KB, 98KB, 576KB, 723KB, 72300, 903168, 903168, MAC
31, conv,conv2d30, 512, 14, 14, 24, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 2408448, 196KB, 13KB, 24KB, 233KB, 23300, 50176, 50176, MAC
32, conv,conv2d31, 24, 14, 14, 64, 5, 5, TRUE, 1, 1, 14, 14, TRUE, 3, 3, 1, 1, 12, 12, 7526400, 25KB, 18KB, 75KB, 118KB, 11800, 313600, 313600, MAC
33, conv,conv2d32, 512, 14, 14, 64, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 6422528, 196KB, 25KB, 64KB, 285KB, 28500, 100352, 100352, MAC
34, conv,conv2d33, 512, 14, 14, 112, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 11239424, 196KB, 43KB, 112KB, 351KB, 35100, 175616, 175616, MAC
35, conv,conv2d34, 512, 14, 14, 144, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 14450688, 196KB, 56KB, 144KB, 396KB, 39600, 225792, 225792, MAC
36, conv,conv2d35, 144, 14, 14, 288, 3, 3, TRUE, 1, 1, 14, 14,,,,,,,, 73156608, 74KB, 111KB, 729KB, 914KB, 91400, 1524096, 1524096, MAC
37, conv,conv2d36, 512, 14, 14, 32, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 3211264, 196KB, 13KB, 32KB, 241KB, 24100, 50176, 50176, MAC
38, conv,conv2d37, 32, 14, 14, 64, 5, 5, TRUE, 1, 1, 14, 14, TRUE, 3, 3, 1, 1, 12, 12, 10035200, 25KB, 18KB, 100KB, 143KB, 14300, 313600, 313600, MAC
39, conv,conv2d38, 512, 14, 14, 64, 1, 1, FALSE, 1, 1, 14, 14,,,,,,,, 6422528, 196KB, 25KB, 64KB, 285KB, 28500, 100352, 100352, MAC
